,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
27,HOUSTON ROCKETS (BAD_TRIP),LOS ANGELES CLIPPERS (BOBBY),2.60,,1.43,,,,+4.5,1.90,-4.5,1.80,126.5,1.87,1.83,+6
28,Boston Celtics (Zo0m),Toronto Raptors (iamdevilwalk),,,,,,,-3.5,1.83,+3.5,1.87,125.5,1.90,1.80,+2
29,Denver Nuggets (ALLka),Miami Heat (Lily),,,,,,,,,,,,,,
30,Portland (Harden),Minnesota Timb. (Sphynx),,,,,,,,,,,,,,
31,Orlando Magic (alex_007_m),Cleveland Cav. (nikitos349,4.15,,1.19,,,,+5.5,1.85,-5.5,1.85,123.5,1.85,1.85,+6
32,FTC Telekom,BVSC-Zuglo,,,,,,,-6.5,2.10,+6.5,1.65,21.5,2.10,1.65,+19
33,Sturm Minsk,Milluol,2.47,4.50,2.20,1.60,1.16,1.48,0,1.95,0,1.75,11.5,1.65,2.10,+27
34,Skaut team Belarus,Diza,,,,,,,+5.5,1.75,-5.5,1.95,11.5,1.95,1.75,+27
35,Pit Pirates,Min Twins,5.60,,1.11,,,,+2.5,1.63,-2.5,2.15,10.5,1.70,2.02,+20
36,AVEZ,SG.pro,1.78,,1.93,,,,,,,,,,,
37,Thunder Predator,Midas Club,,,,,,,,,,,,,,
38,Vexed,Cowana,,,,,,,+4.5,2.15,-4.5,1.63,9.5,1.93,1.77,+4
0,Khimki-2,Sakhalin,1.45,4.30,6.40,1.08,1.18,2.55,-1.5,2.55,+1.5,1.45,3.5,2.50,1.47,+185
1,Shanghai Shenhua,Dalian Yifang,1.45,4.20,6.80,1.09,1.20,2.65,-1.5,2.65,+1.5,1.45,2.5,1.52,2.45,+179
2,Brisbane Roar FC,Sydney FC,3.15,2.70,2.75,1.45,1.47,1.35,+1.5,1.12,-1.5,6.40,3.5,1.97,1.83,+165
3,Tallebudgera Valley FC,Robina City 2 Sunday,,,,,,,-7.5,1.65,+7.5,2.10,7.5,1.50,2.40,+2
